[2025-05-22 20:40:53] [INFO    ] discord.client: logging in using static token
[2025-05-22 20:40:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-22 20:40:59] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-22 20:40:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1374018814240620575', 'username': 'PINGUS', 'avatar': '4ca2ba3df91b02bbf6cb1d777ad764a4', 'discriminator': '1292', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-22 20:40:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-22 20:40:59] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-22 20:40:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1374018814240620575', 'name': 'PINGUS', 'icon': '4ca2ba3df91b02bbf6cb1d777ad764a4', 'description': '', 'type': None, 'bot': {'id': '1374018814240620575', 'username': 'PINGUS', 'avatar': '4ca2ba3df91b02bbf6cb1d777ad764a4', 'discriminator': '1292', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '89015917ba5f2062e2f15a17588bbcbd76707a0e7c40f852b82455c5dcba4a53', 'flags': 27820032, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '617997268888584202', 'username': 'cocozuku', 'avatar': 'ff72126ea231e38f64f4a2c9cc3dda33', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_3dbc47e1d82d0883fd1c1b0346a03fe9', 'accent_color': 162487, 'global_name': 'izuku', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#027ab7', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-22 20:40:59] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-22 20:40:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-b634",{"micros":0.0}]']}}
[2025-05-22 20:40:59] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-22 20:41:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
